date,nav
23-10-2018,48.309
22-10-2018,48.694
19-10-2018,49.236
17-10-2018,49.586
16-10-2018,50.587
15-10-2018,49.871
12-10-2018,49.682
11-10-2018,48.389
10-10-2018,49.191
09-10-2018,47.702
08-10-2018,47.971
05-10-2018,47.977
04-10-2018,49.001
03-10-2018,50.0
01-10-2018,50.457
28-09-2018,50.427
27-09-2018,51.088
26-09-2018,51.846
25-09-2018,51.809
24-09-2018,51.492
21-09-2018,52.461
19-09-2018,53.078
18-09-2018,53.353
17-09-2018,53.988
14-09-2018,54.344
12-09-2018,53.49
11-09-2018,53.198
10-09-2018,54.031
07-09-2018,54.877
06-09-2018,54.451
05-09-2018,54.097
04-09-2018,54.184
03-09-2018,55.152
31-08-2018,55.352
30-08-2018,55.265
29-08-2018,55.358
28-08-2018,55.377
27-08-2018,55.345
24-08-2018,54.599
23-08-2018,54.7
21-08-2018,54.771
20-08-2018,54.744
17-08-2018,54.401
16-08-2018,53.804
14-08-2018,54.136
13-08-2018,53.565
10-08-2018,53.78
09-08-2018,54.021
08-08-2018,53.812
07-08-2018,53.57
06-08-2018,53.49
03-08-2018,53.102
02-08-2018,52.7
01-08-2018,52.683
31-07-2018,52.663
30-07-2018,52.31
27-07-2018,52.154
26-07-2018,51.566
25-07-2018,51.326
24-07-2018,51.155
23-07-2018,50.724
20-07-2018,50.163
19-07-2018,49.921
18-07-2018,50.155
17-07-2018,50.564
16-07-2018,49.741
13-07-2018,50.661
12-07-2018,51.045
11-07-2018,50.979
10-07-2018,51.176
09-07-2018,50.84
06-07-2018,50.23
05-07-2018,50.07
04-07-2018,50.284
03-07-2018,50.163
02-07-2018,49.855
29-06-2018,50.134
28-06-2018,49.408
27-06-2018,49.995
26-06-2018,50.668
25-06-2018,50.7
22-06-2018,51.108
21-06-2018,51.053
20-06-2018,51.282
19-06-2018,51.085
18-06-2018,51.661
15-06-2018,51.669
14-06-2018,51.821
13-06-2018,51.815
12-06-2018,51.959
11-06-2018,51.658
08-06-2018,51.61
07-06-2018,51.487
06-06-2018,50.922
05-06-2018,50.496
04-06-2018,50.802
01-06-2018,51.348
31-05-2018,51.872
30-05-2018,51.674
29-05-2018,51.627
28-05-2018,51.94
25-05-2018,51.263
24-05-2018,50.457
23-05-2018,50.462
22-05-2018,50.892
21-05-2018,50.644
18-05-2018,51.238
17-05-2018,52.047
16-05-2018,51.921
15-05-2018,52.216
14-05-2018,52.561
11-05-2018,52.929
10-05-2018,52.478
09-05-2018,53.06
08-05-2018,53.136
07-05-2018,53.039
04-05-2018,52.594
03-05-2018,52.509
02-05-2018,52.908
30-04-2018,53.3
27-04-2018,52.893
26-04-2018,52.459
25-04-2018,52.194
24-04-2018,52.574
23-04-2018,52.531
20-04-2018,52.287
19-04-2018,52.574
18-04-2018,52.236
17-04-2018,52.425
16-04-2018,52.352
13-04-2018,52.229
12-04-2018,52.027
11-04-2018,52.023
10-04-2018,51.975
09-04-2018,51.998
06-04-2018,51.857
05-04-2018,51.549
04-04-2018,50.568
03-04-2018,51.201
02-04-2018,50.684
28-03-2018,49.85
27-03-2018,50.139
26-03-2018,49.655
23-03-2018,49.157
22-03-2018,49.747
21-03-2018,49.98
20-03-2018,49.978
19-03-2018,49.91
16-03-2018,50.614
15-03-2018,51.278
14-03-2018,51.305
13-03-2018,51.254
12-03-2018,50.928
09-03-2018,50.438
08-03-2018,50.664
07-03-2018,50.325
06-03-2018,51.044
05-03-2018,51.499
01-03-2018,52.056
28-02-2018,52.326
27-02-2018,52.363
26-02-2018,52.585
23-02-2018,51.979
22-02-2018,51.134
21-02-2018,51.362
20-02-2018,51.494
19-02-2018,51.532
16-02-2018,52.033
15-02-2018,52.557
14-02-2018,52.739
12-02-2018,52.887
09-02-2018,52.282
08-02-2018,52.38
07-02-2018,51.52
06-02-2018,51.092
05-02-2018,52.193
02-02-2018,52.844
01-02-2018,54.748
31-01-2018,54.687
30-01-2018,55.131
29-01-2018,55.655
25-01-2018,55.893
24-01-2018,56.299
23-01-2018,56.552
22-01-2018,56.131
19-01-2018,56.027
18-01-2018,55.514
17-01-2018,56.241
16-01-2018,56.027
15-01-2018,56.935
12-01-2018,56.827
11-01-2018,56.624
10-01-2018,56.636
09-01-2018,56.852
08-01-2018,56.699
05-01-2018,56.496
04-01-2018,55.765
03-01-2018,55.284
02-01-2018,55.073
01-01-2018,55.367
29-12-2017,55.669
28-12-2017,55.315
27-12-2017,55.309
26-12-2017,55.378
22-12-2017,55.154
21-12-2017,55.021
20-12-2017,54.653
19-12-2017,54.701
18-12-2017,54.192
15-12-2017,53.786
14-12-2017,53.114
13-12-2017,52.941
12-12-2017,53.33
11-12-2017,53.51
08-12-2017,53.416
07-12-2017,52.912
06-12-2017,52.263
05-12-2017,52.666
04-12-2017,52.633
01-12-2017,52.811
30-11-2017,53.354
29-11-2017,53.638
28-11-2017,53.764
27-11-2017,53.682
24-11-2017,53.501
23-11-2017,53.321
22-11-2017,53.178
21-11-2017,53.026
20-11-2017,52.936
17-11-2017,52.427
16-11-2017,51.949
15-11-2017,51.524
14-11-2017,51.939
13-11-2017,52.018
10-11-2017,52.226
09-11-2017,52.204
08-11-2017,51.799
07-11-2017,52.051
06-11-2017,52.653
03-11-2017,52.707
02-11-2017,52.776
01-11-2017,52.714
31-10-2017,52.353
30-10-2017,52.255
27-10-2017,51.777
26-10-2017,51.594
25-10-2017,51.525
24-10-2017,51.549
23-10-2017,51.506
18-10-2017,51.77
17-10-2017,51.916
16-10-2017,51.634
13-10-2017,51.376
12-10-2017,51.24
11-10-2017,50.813
10-10-2017,51.107
09-10-2017,50.643
06-10-2017,50.595
05-10-2017,50.15
04-10-2017,49.943
03-10-2017,49.576
29-09-2017,49.255
28-09-2017,48.772
27-09-2017,48.499
26-09-2017,49.256
25-09-2017,48.863
22-09-2017,49.623
21-09-2017,51.1
20-09-2017,51.18
19-09-2017,51.359
18-09-2017,51.136
15-09-2017,50.845
14-09-2017,50.821
13-09-2017,50.557
12-09-2017,51.077
11-09-2017,50.516
08-09-2017,49.976
07-09-2017,49.862
06-09-2017,49.624
05-09-2017,49.519
04-09-2017,49.244
01-09-2017,49.515
31-08-2017,49.004
30-08-2017,48.721
29-08-2017,48.241
28-08-2017,48.698
24-08-2017,48.327
23-08-2017,48.266
22-08-2017,47.775
21-08-2017,47.979
18-08-2017,48.611
17-08-2017,48.714
16-08-2017,48.736
14-08-2017,48.23
11-08-2017,47.138
10-08-2017,47.152
09-08-2017,48.534
08-08-2017,49.466
07-08-2017,50.044
04-08-2017,49.527
03-08-2017,49.309
02-08-2017,49.602
01-08-2017,49.641
31-07-2017,49.493
28-07-2017,49.288
27-07-2017,49.278
26-07-2017,49.417
25-07-2017,49.341
24-07-2017,49.127
21-07-2017,49.051
20-07-2017,49.065
19-07-2017,49.237
18-07-2017,48.877
17-07-2017,49.216
14-07-2017,49.129
13-07-2017,49.185
12-07-2017,48.831
11-07-2017,48.359
10-07-2017,48.631
07-07-2017,48.316
06-07-2017,48.364
05-07-2017,48.355
04-07-2017,47.83
03-07-2017,47.969
30-06-2017,47.431
29-06-2017,47.2
28-06-2017,47.005
27-06-2017,46.881
23-06-2017,47.403
22-06-2017,47.84
21-06-2017,48.057
20-06-2017,48.22
19-06-2017,47.993
16-06-2017,48.093
15-06-2017,48.016
14-06-2017,48.1
13-06-2017,47.953
12-06-2017,47.854
09-06-2017,48.265
08-06-2017,48.116
07-06-2017,48.071
06-06-2017,47.818
05-06-2017,47.965
02-06-2017,47.778
01-06-2017,47.495
31-05-2017,47.228
30-05-2017,46.784
29-05-2017,46.319
26-05-2017,46.779
25-05-2017,45.895
24-05-2017,45.204
23-05-2017,45.489
22-05-2017,46.189
19-05-2017,46.72
18-05-2017,47.067
17-05-2017,48.099
16-05-2017,48.015
15-05-2017,47.762
12-05-2017,47.206
11-05-2017,47.607
10-05-2017,47.467
09-05-2017,47.078
08-05-2017,46.94
05-05-2017,46.75
04-05-2017,46.925
03-05-2017,46.472
02-05-2017,46.601
28-04-2017,46.452
27-04-2017,46.234
26-04-2017,46.143
25-04-2017,46.059
24-04-2017,45.787
21-04-2017,45.48
20-04-2017,45.554
19-04-2017,45.175
18-04-2017,44.857
17-04-2017,45.005
13-04-2017,44.777
12-04-2017,44.857
11-04-2017,45.047
10-04-2017,44.743
07-04-2017,44.5
06-04-2017,44.771
05-04-2017,44.807
03-04-2017,44.545
31-03-2017,44.311
30-03-2017,43.969
29-03-2017,43.669
28-03-2017,43.337
27-03-2017,43.105
24-03-2017,43.216
23-03-2017,43.16
22-03-2017,42.869
21-03-2017,43.219
20-03-2017,43.238
17-03-2017,43.181
16-03-2017,43.222
15-03-2017,42.742
14-03-2017,42.514
10-03-2017,41.856
09-03-2017,41.999
08-03-2017,42.038
07-03-2017,42.265
06-03-2017,42.254
03-03-2017,42.029
02-03-2017,41.992
01-03-2017,42.415
28-02-2017,42.287
27-02-2017,42.166
